usaf,wban,name,country,state,call,lat,lon,elev,begin,end
14920,99999,OSLO-BLINDERN,NO,,,59.95,10.717,97,19730803,20180807
14930,99999,SARPSBORG,NO,,,59.283,11.117,57,20040510,20180807
14960,99999,HOLAND-FOSSER,NO,,,59.817,11.483,154,19730101,20071020
14970,99999,PRESTEBAKKE,NO,,,59,11.533,157,19730101,20100409
14980,99999,MAGNOR,NO,,,59.967,12.217,153,19830101,20050831
15000,99999,RAKKESTAD,NO,,,59.383,11.383,100,20090708,20091216
20120,99999,RITSEM,SW,,,67.733,17.467,521,19810801,20050924
20130,99999,RITSEM,SW,,,67.733,17.467,542.7,20010601,20180801
20230,99999,TORNEHAMN (AUT),SW,,,68.433,18.633,512,19860427,20050526
20240,99999,STORA SJOFALLET,SW,,,67.5,18.3,425,20010601,20180803
20310,99999,RENSJON,SW,,,68.067,19.833,493,20010601,20180807
20320,99999,TORNETRASK LAKE,SW,,,68.217,19.717,393,19770701,20030909
20360,99999,NIKKALUOKTA,SW,,,67.85,19.033,468,19770701,20180807
20450,99999,KIRUNA-SOL,SW,,,67.833,20.417,424,19950401,20030922
20550,99999,NAIMAKKA,SW,,,68.683,21.533,402,19730101,20180807
20590,99999,GADDEDE,SW,,,64.5,14.133,318,19570101,19770630
20630,99999,ASELE,SW,,,64.167,17.367,329,19570101,19770630
20650,99999,SVEG              &,SW,,,62.033,14.367,360,19570101,19770630
20670,99999,SARNA,SW,,,61.683,13.133,505,19570101,19770630
20710,99999,NORRKOPING-SOL,SW,,,58.583,16.15,58,19570101,19591231
20711,99999,BORLANGE,SW,,,60.417,15.517,153,19730101,19730121
20740,99999,OREBRO/EKEBY,SW,,,59.267,15.333,33,19730101,19770630
20810,99999,KARESUANDO,SW,,,68.45,22.45,330,19570101,20180807
20820,99999,LANDSORT          &,SW,,,58.75,17.867,32,19730101,19770630
20840,99999,LANNAVAARA        &,SW,,,68.05,22,360,19570101,20040507
20850,99999,RANGEDALA (AUTO),SW,,,57.717,13.117,259,19730101,19770630
20910,99999,VISBY-SOL,SW,,,57.667,18.35,49,19730101,19770630
20920,99999,MUODOSLOMPOLO,SW,,,67.95,23.467,240,19730101,20040917
20930,99999,VAXJO             &,SW,,,56.867,14.8,166,19730101,19770630
20970,99999,MALMO /BULLTOFTON,SZ,,,55.6,13.067,14.9,19570101,19740702
20990,99999,YSTAD             &,SW,,,55.433,13.833,34,19730101,19770630
21000,99999,NAIMAKKA,SW,,,68.683,21.533,403,19730101,19770630
21030,99999,HEMAVAN-GIEREVARTO,SW,,,65.783,15.067,793,19871118,20180807
21090,99999,ABRAUR,SW,,,65.9,19.1,342,19730102,19770630
21100,99999,GIELAS,SW,,,65.333,15.067,577,19870518,20180807
21120,99999,SYLARNA,SW,,,63.05,12.267,1035,19770701,20040821
21160,99999,MORSIL,SW,,,63.317,13.65,400,19730101,20050221
21180,99999,DIKANAS/SKANSNAS,SW,,,65.317,16.033,525,19730101,20050121
21190,99999,KVIKKJOKK ARRENJARKA,SW,,,66.883,18.017,320,19730101,20180807
21205,99999,STORUMAN,SW,,,64.95,17.7,279,20050419,20180726
21210,99999,MIERKENIS,SW,,,66.683,16.117,615,20010601,20180807
21220,99999,STENUDDEN,SW,,,66.533,17.667,453,19790802,20040321
21240,99999,ARJEPLOG,SW,,,66.05,17.833,432,19770405,20180807
21270,99999,STENSELE,SW,,,65.067,17.167,327,19310103,20050823
21350,99999,BURESJON,SW,,,65.567,17.867,393,19730101,20180807
21360,99999,STORBERG,SW,,,65.5,18.95,454,20030519,20040829
21380,99999,GRUNDKALLEN,SW,,,60.5,18.867,23,19730101,19770630
21410,99999,TJAKAAPE,SW,,,66.317,19.217,582,19730101,20180807
21430,99999,PALJAMYREN,SW,,,66.217,19.133,570,19730101,20030731
21440,99999,ABRAUR,SW,,,65.983,18.933,374,19770701,20040626
21460,99999,VAJMAT,SW,,,66.5,19.683,324,20010701,20160421
21470,99999,MALA-BRANNAN,SW,,,65.15,18.6,363,19730101,20180807
21490,99999,ARVIDSJAUR,SW,,,65.6,19.267,384,20010701,20180807
21510,99999,JOKKMOKK FPL,SW,,,66.483,20.167,275,19730101,20180807
21520,99999,SUDOK,SW,,,66.3,20.417,174,19730101,20050919
21560,99999,STENSJON (AUT),SW,,,63.967,13.717,680,19770701,20031028
21620,99999,MARKARYD,SW,,,56.467,13.65,118,19730101,19770630
21730,99999,ALVSBYN,SW,,,65.667,21.067,43,20010701,20180807
21740,99999,LAKATRASK,SW,,,66.283,21.133,186,20010701,20180807
21810,99999,OVERKALIX SVARTBYN,SW,,,66.267,22.85,62,19960801,20180807
21820,99999,OVERKALIX,SW,,,66.267,22.833,47,19790803,20020602
21840,99999,PAHAROVA,SW,,,66.817,22.333,229,20010701,20180807
